date,ticker,adj_closing_price,p0,ror
2014-12-17,ACN,72.31,70.25,0.029324
2014-12-18,ACN,76.08,72.31,0.052137
2014-12-19,ACN,76.73,76.08,0.008544
2014-12-22,ACN,77.30,76.73,0.007429
2014-12-23,ACN,77.50,77.30,0.002587
2014-12-24,ACN,77.42,77.50,-0.001032
2014-12-26,ACN,77.36,77.42,-0.000775
2014-12-29,ACN,76.74,77.36,-0.008014
2014-12-30,ACN,76.46,76.74,-0.003649
2014-12-31,ACN,75.71,76.46,-0.009809
2015-01-02,ACN,75.31,75.71,-0.005283
2015-01-05,ACN,74.04,75.31,-0.016864
2015-01-06,ACN,73.51,74.04,-0.007158
2015-01-07,ACN,75.05,73.51,0.020950
2015-01-08,ACN,76.19,75.05,0.015190
2015-01-09,ACN,76.11,76.19,-0.001050
2015-01-12,ACN,75.88,76.11,-0.003022
2015-01-13,ACN,76.15,75.88,0.003558
2015-01-14,ACN,75.26,76.15,-0.011687
2015-01-15,ACN,74.74,75.26,-0.006909
2015-01-16,ACN,75.36,74.74,0.008295
2015-01-20,ACN,75.13,75.36,-0.003052
2015-01-21,ACN,74.89,75.13,-0.003194
2015-01-22,ACN,75.87,74.89,0.013086
2015-01-23,ACN,75.63,75.87,-0.003163
2015-01-26,ACN,75.52,75.63,-0.001454
2015-01-27,ACN,73.04,75.52,-0.032839
2015-01-28,ACN,71.51,73.04,-0.020947
2015-01-29,ACN,72.60,71.51,0.015243
2015-01-30,ACN,71.24,72.60,-0.018733
2015-02-02,ACN,72.76,71.24,0.021336
2015-02-03,ACN,74.53,72.76,0.024327
2015-02-04,ACN,74.04,74.53,-0.006575
2015-02-05,ACN,75.00,74.04,0.012966
2015-02-06,ACN,74.73,75.00,-0.003600
2015-02-09,ACN,74.06,74.73,-0.008966
2015-02-10,ACN,74.19,74.06,0.001755
2015-02-11,ACN,74.57,74.19,0.005122
2015-02-12,ACN,75.52,74.57,0.012740
2015-02-13,ACN,76.12,75.52,0.007945
2015-02-17,ACN,75.70,76.12,-0.005518
2015-02-18,ACN,75.81,75.70,0.001453
2015-02-19,ACN,76.52,75.81,0.009366
2015-02-20,ACN,76.71,76.52,0.002483
2015-02-23,ACN,76.78,76.71,0.000913
2015-02-24,ACN,77.02,76.78,0.003126
2015-02-25,ACN,76.80,77.02,-0.002856
2015-02-26,ACN,76.55,76.80,-0.003255
2015-02-27,ACN,76.32,76.55,-0.003005
2015-03-02,ACN,77.30,76.32,0.012841
2015-03-03,ACN,77.01,77.30,-0.003752
2015-03-04,ACN,77.07,77.01,0.000779
2015-03-05,ACN,78.03,77.07,0.012456
2015-03-06,ACN,76.86,78.03,-0.014994
2015-03-09,ACN,76.97,76.86,0.001431
2015-03-10,ACN,74.65,76.97,-0.030142
2015-03-11,ACN,73.63,74.65,-0.013664
2015-03-12,ACN,74.77,73.63,0.015483
2015-03-13,ACN,74.49,74.77,-0.003745
2015-03-16,ACN,75.37,74.49,0.011814
2015-03-17,ACN,75.31,75.37,-0.000796
2015-03-18,ACN,77.08,75.31,0.023503
2015-03-19,ACN,76.46,77.08,-0.008044
2015-03-20,ACN,77.55,76.46,0.014256
