index,date,adj_closing_price,ticker
1,2014-12-16,165.92,SPY
2,2014-12-17,169.17,SPY
3,2014-12-18,173.36,SPY
4,2014-12-19,174.09,SPY
5,2014-12-22,174.89,SPY
6,2014-12-23,175.13,SPY
7,2014-12-24,175.15,SPY
8,2014-12-26,175.71,SPY
9,2014-12-29,175.95,SPY
10,2014-12-30,175.00,SPY
11,2014-12-31,173.27,SPY
12,2015-01-02,173.17,SPY
13,2015-01-05,170.05,SPY
14,2015-01-06,168.44,SPY
15,2015-01-07,170.54,SPY
16,2015-01-08,173.57,SPY
17,2015-01-09,172.18,SPY
18,2015-01-12,170.83,SPY
19,2015-01-13,170.35,SPY
20,2015-01-14,169.32,SPY
21,2015-01-15,167.77,SPY
22,2015-01-16,169.97,SPY
23,2015-01-20,170.33,SPY
24,2015-01-21,171.19,SPY
25,2015-01-22,173.74,SPY
26,2015-01-23,172.79,SPY
27,2015-01-26,173.19,SPY
28,2015-01-27,170.91,SPY
29,2015-01-28,168.71,SPY
30,2015-01-29,170.27,SPY
31,2015-01-30,168.13,SPY
32,2015-02-02,170.21,SPY
33,2015-02-03,172.68,SPY
34,2015-02-04,172.02,SPY
35,2015-02-05,173.76,SPY
36,2015-02-06,173.27,SPY
37,2015-02-09,172.50,SPY
38,2015-02-10,174.34,SPY
39,2015-02-11,174.44,SPY
40,2015-02-12,176.12,SPY
41,2015-02-13,176.84,SPY
42,2015-02-17,177.12,SPY
43,2015-02-18,177.14,SPY
44,2015-02-19,177.01,SPY
45,2015-02-20,178.07,SPY
46,2015-02-23,178.05,SPY
47,2015-02-24,178.55,SPY
48,2015-02-25,178.40,SPY
49,2015-02-26,178.19,SPY
50,2015-02-27,177.58,SPY
51,2015-03-02,178.70,SPY
52,2015-03-03,177.97,SPY
53,2015-03-04,177.22,SPY
54,2015-03-05,177.41,SPY
55,2015-03-06,174.92,SPY
56,2015-03-09,175.64,SPY
57,2015-03-10,172.79,SPY
58,2015-03-11,172.39,SPY
59,2015-03-12,174.58,SPY
60,2015-03-13,173.51,SPY
61,2015-03-16,175.83,SPY
62,2015-03-17,175.31,SPY
63,2015-03-18,177.41,SPY
64,2015-03-19,176.60,SPY
65,2015-03-20,178.16,SPY
66,2015-03-23,177.82,SPY
67,2015-03-24,176.82,SPY
68,2015-03-25,174.23,SPY
69,2015-03-26,173.81,SPY
70,2015-03-27,174.21,SPY
71,2015-03-30,176.33,SPY
72,2015-03-31,174.79,SPY
73,2015-04-01,174.18,SPY
74,2015-04-02,174.80,SPY
75,2015-04-06,175.98,SPY
76,2015-04-07,175.51,SPY
77,2015-04-08,176.11,SPY
78,2015-04-09,176.88,SPY
79,2015-04-10,177.85,SPY
80,2015-04-13,177.05,SPY
81,2015-04-14,177.38,SPY
82,2015-04-15,178.18,SPY
83,2015-04-16,178.13,SPY
84,2015-04-17,176.08,SPY
85,2015-04-20,177.69,SPY
86,2015-04-21,177.48,SPY
87,2015-04-22,178.35,SPY
88,2015-04-23,178.80,SPY
89,2015-04-24,179.21,SPY
90,2015-04-27,178.47,SPY
91,2015-04-28,179.04,SPY
92,2015-04-29,178.30,SPY
93,2015-04-30,176.51,SPY
94,2015-05-01,178.43,SPY
95,2015-05-04,178.93,SPY
96,2015-05-05,176.88,SPY
97,2015-05-06,176.16,SPY
98,2015-05-07,176.86,SPY
99,2015-05-08,179.19,SPY
100,2015-05-11,178.33,SPY
101,2015-05-12,177.80,SPY
102,2015-05-13,177.83,SPY
103,2015-05-14,179.69,SPY
104,2015-05-15,179.88,SPY
105,2015-05-18,180.44,SPY
106,2015-05-19,180.38,SPY
107,2015-05-20,180.26,SPY
108,2015-05-21,180.78,SPY
109,2015-05-22,180.35,SPY
110,2015-05-26,178.41,SPY
111,2015-05-27,180.10,SPY
112,2015-05-28,179.90,SPY
113,2015-05-29,178.78,SPY
114,2015-06-01,179.15,SPY
115,2015-06-02,178.97,SPY
116,2015-06-03,179.44,SPY
117,2015-06-04,177.93,SPY
118,2015-06-05,177.62,SPY
119,2015-06-08,176.53,SPY
120,2015-06-09,176.50,SPY
121,2015-06-10,178.62,SPY
122,2015-06-11,179.20,SPY
123,2015-06-12,177.82,SPY
124,2015-06-15,177.06,SPY
125,2015-06-16,178.03,SPY
126,2015-06-17,178.32,SPY
127,2015-06-18,180.17,SPY
128,2015-06-19,179.37,SPY
129,2015-06-22,180.29,SPY
130,2015-06-23,180.42,SPY
131,2015-06-24,179.11,SPY
132,2015-06-25,178.56,SPY
133,2015-06-26,178.53,SPY
134,2015-06-29,174.78,SPY
135,2015-06-30,175.15,SPY
136,2015-07-01,176.55,SPY
137,2015-07-02,176.39,SPY
138,2015-07-06,175.89,SPY
139,2015-07-07,177.00,SPY
140,2015-07-08,174.03,SPY
141,2015-07-09,174.34,SPY
142,2015-07-10,176.54,SPY
143,2015-07-13,178.49,SPY
144,2015-07-14,179.26,SPY
145,2015-07-15,179.20,SPY
146,2015-07-16,180.64,SPY
147,2015-07-17,180.79,SPY
148,2015-07-20,180.89,SPY
149,2015-07-21,180.17,SPY
150,2015-07-22,179.85,SPY
151,2015-07-23,178.83,SPY
152,2015-07-24,176.98,SPY
153,2015-07-27,175.95,SPY
154,2015-07-28,178.11,SPY
155,2015-07-29,179.34,SPY
156,2015-07-30,179.38,SPY
157,2015-07-31,179.11,SPY
158,2015-08-03,178.50,SPY
159,2015-08-04,178.15,SPY
160,2015-08-05,178.74,SPY
161,2015-08-06,177.28,SPY
162,2015-08-07,176.94,SPY
163,2015-08-10,179.17,SPY
164,2015-08-11,177.55,SPY
165,2015-08-12,177.76,SPY
166,2015-08-13,177.54,SPY
167,2015-08-14,178.19,SPY
168,2015-08-17,179.18,SPY
169,2015-08-18,178.66,SPY
170,2015-08-19,177.25,SPY
171,2015-08-20,173.55,SPY
172,2015-08-21,168.33,SPY
173,2015-08-24,161.24,SPY
174,2015-08-25,159.34,SPY
175,2015-08-26,165.46,SPY
176,2015-08-27,169.55,SPY
177,2015-08-28,169.56,SPY
178,2015-08-31,168.19,SPY
179,2015-09-01,163.17,SPY
180,2015-09-02,166.27,SPY
181,2015-09-03,166.39,SPY
182,2015-09-04,163.87,SPY
183,2015-09-08,167.99,SPY
184,2015-09-09,165.74,SPY
185,2015-09-10,166.64,SPY
186,2015-09-11,167.40,SPY
187,2015-09-14,166.78,SPY
188,2015-09-15,168.86,SPY
189,2015-09-16,170.33,SPY
190,2015-09-17,169.94,SPY
191,2015-09-18,167.17,SPY
192,2015-09-21,168.03,SPY
193,2015-09-22,165.85,SPY
194,2015-09-23,165.58,SPY
195,2015-09-24,164.98,SPY
196,2015-09-25,164.94,SPY
197,2015-09-28,160.80,SPY
198,2015-09-29,160.90,SPY
199,2015-09-30,163.90,SPY
200,2015-10-01,164.33,SPY
201,2015-10-02,166.78,SPY
202,2015-10-05,169.75,SPY
203,2015-10-06,169.17,SPY
204,2015-10-07,170.55,SPY
205,2015-10-08,172.09,SPY
206,2015-10-09,172.19,SPY
207,2015-10-12,172.36,SPY
208,2015-10-13,171.27,SPY
209,2015-10-14,170.45,SPY
210,2015-10-15,173.07,SPY
211,2015-10-16,173.85,SPY
212,2015-10-19,173.94,SPY
213,2015-10-20,173.72,SPY
214,2015-10-21,172.64,SPY
215,2015-10-22,175.56,SPY
216,2015-10-23,177.48,SPY
217,2015-10-26,177.04,SPY
218,2015-10-27,176.70,SPY
219,2015-10-28,178.71,SPY
220,2015-10-29,178.61,SPY
221,2015-10-30,177.84,SPY
222,2015-11-02,179.94,SPY
223,2015-11-03,180.47,SPY
224,2015-11-04,179.92,SPY
225,2015-11-05,179.74,SPY
226,2015-11-06,179.64,SPY
227,2015-11-09,177.97,SPY
228,2015-11-10,178.38,SPY
229,2015-11-11,177.68,SPY
230,2015-11-12,175.20,SPY
231,2015-11-13,173.23,SPY
232,2015-11-16,175.86,SPY
233,2015-11-17,175.74,SPY
234,2015-11-18,178.52,SPY
235,2015-11-19,178.37,SPY
236,2015-11-20,179.02,SPY
237,2015-11-23,178.81,SPY
238,2015-11-24,179.05,SPY
239,2015-11-25,179.03,SPY
240,2015-11-27,179.23,SPY
241,2015-11-30,178.49,SPY
242,2015-12-01,180.19,SPY
243,2015-12-02,178.35,SPY
244,2015-12-03,175.86,SPY
245,2015-12-04,179.29,SPY
246,2015-12-07,178.20,SPY
247,2015-12-08,177.00,SPY
248,2015-12-09,175.62,SPY
249,2015-12-10,176.08,SPY
250,2015-12-11,172.67,SPY
251,2015-12-14,173.54,SPY
252,2015-12-15,175.36,SPY
253,2015-12-16,177.93,SPY
254,2015-12-17,175.21,SPY
255,2015-12-18,172.09,SPY
256,2015-12-21,173.51,SPY
257,2015-12-22,175.09,SPY
258,2015-12-23,177.25,SPY
259,2015-12-24,176.96,SPY
260,2015-12-28,176.56,SPY
261,2015-12-29,178.44,SPY
262,2015-12-30,177.18,SPY
263,2015-12-31,175.41,SPY
264,2016-01-04,172.95,SPY
265,2016-01-05,173.25,SPY
266,2016-01-06,171.06,SPY
267,2016-01-07,166.96,SPY
268,2016-01-08,165.12,SPY
269,2016-01-11,165.29,SPY
270,2016-01-12,166.62,SPY
271,2016-01-13,162.46,SPY
272,2016-01-14,165.13,SPY
273,2016-01-15,161.59,SPY
274,2016-01-19,161.80,SPY
275,2016-01-20,159.73,SPY
276,2016-01-21,160.62,SPY
277,2016-01-22,163.92,SPY
278,2016-01-25,161.44,SPY
279,2016-01-26,163.64,SPY
280,2016-01-27,161.86,SPY
281,2016-01-28,162.71,SPY
282,2016-01-29,166.67,SPY
283,2016-02-01,166.61,SPY
284,2016-02-02,163.61,SPY
285,2016-02-03,164.59,SPY
286,2016-02-04,164.85,SPY
287,2016-02-05,161.71,SPY
288,2016-02-08,159.53,SPY
289,2016-02-09,159.54,SPY
290,2016-02-10,159.40,SPY
291,2016-02-11,157.33,SPY
292,2016-02-12,160.57,SPY
293,2016-02-16,163.28,SPY
294,2016-02-17,165.95,SPY
295,2016-02-18,165.27,SPY
296,2016-02-19,165.19,SPY
297,2016-02-22,167.58,SPY
298,2016-02-23,165.47,SPY
299,2016-02-24,166.22,SPY
300,2016-02-25,168.24,SPY
301,2016-02-26,167.85,SPY
302,2016-02-29,166.53,SPY
303,2016-03-01,170.45,SPY
304,2016-03-02,171.22,SPY
305,2016-03-03,171.89,SPY
306,2016-03-04,172.45,SPY
307,2016-03-07,172.58,SPY
308,2016-03-08,170.70,SPY
309,2016-03-09,171.54,SPY
310,2016-03-10,171.68,SPY
311,2016-03-11,174.45,SPY
312,2016-03-14,174.23,SPY
313,2016-03-15,173.94,SPY
314,2016-03-16,174.95,SPY
315,2016-03-17,176.06,SPY
316,2016-03-18,176.75,SPY
317,2016-03-21,177.00,SPY
318,2016-03-22,176.91,SPY
319,2016-03-23,175.74,SPY
320,2016-03-24,175.66,SPY
321,2016-03-28,175.76,SPY
322,2016-03-29,177.39,SPY
323,2016-03-30,178.17,SPY
324,2016-03-31,177.74,SPY
325,2016-04-01,178.95,SPY
326,2016-04-04,178.37,SPY
327,2016-04-05,176.59,SPY
328,2016-04-06,178.52,SPY
329,2016-04-07,176.38,SPY
330,2016-04-08,176.85,SPY
331,2016-04-11,176.44,SPY
332,2016-04-12,178.08,SPY
333,2016-04-13,179.88,SPY
