ticker,security_class,industry,stock_exchange,security/asset_type,sec_blacklisted,wf_blacklisted,esg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY,EQUITY,OTHER,NYSE,ETF,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HES,EQUITY,ENERGY,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,EQUITY,TECHNOLOGY,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSX,EQUITY,HEALTHCARE,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRK,EQUITY,HEALTHCARE,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO,EQUITY,CONSUMER,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,EQUITY,FINANCE,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTR,EQUITY,TELECOM,NASDAQ,CL A,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,EQUITY,TECHNOLOGY,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDT,EQUITY,HEALTHCARE,NYSE,SHS,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,EQUITY,CONSUMER,NYSE,CL A,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,EQUITY,FINANCE,NYSE,COM NEW,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMG,EQUITY,CONSUMER,NYSE,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQIX,EQUITY,REAL ESTATE,NASDAQ,COM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
